tweet_text,polarity
RT @RobHerring: On Friday our lawyer sent a request that our reporter @ChanelRion not be placed in the corner or harassed by members of the…,negative
RT @funder: BREAKING: Now Trump says he will hold a “news conference” at 5pm. There shouldn’t be any live coverage of this nonsense. It’s a…,negative
"RT @Olivianuzzi: If more than 50,000 Americans died over the course of a few weeks at any time in our history, it would be fair to ask the…",negative
RT @SkyNewsAust: Australia has been warned by the Chinese ambassador that it could face an economic hit if it does not back down from a pus…,negative
RT @1776Stonewall: Fox News cuts ties with Diamond and Silk because they had the nerve to question the accuracy of the Wuhan virus death to…,negative
RT @RandyRainbow: Carol Burnett just delivered a message to me from Julie Andrews and now I’m dead. I know this tweet is name-droppy but I’…,negative
"RT @CheriJacobus: If we’re forced to talk about Tara (once they decide which of her many versions of her story to run with),we finally get…",negative
"RT @rautsanjay61: Terrible ! killing of two saints , sadhus at a  temple in bulandshahar,UP ,but i appeal to all concerned to not make it c…",negative
RT @Ethica11y_Vegan: ???? Bennie lost his hind legs when hit by a car as a pup. His owner just added skis to his assistive cart - look at him…,negative
"RT @blairpalese: Via Tress Reti - To those slagging off @jacindaardern - She is the 1st PM to have dealt w/ a terrorist attack, a volcanic…",negative
RT @catturd2: I’m pissed ...  The utter BS that President Trump has been put through just because he’s an outsider trying to make our count…,negative
RT @pnjaban: Governor @GavinNewsom thinks it's a good idea to violate state & federal law & Ca Constitution to give a slush fund of $75 mil…,negative
"RT @enbymingi: for people who may not know, ""eskimo"" is a derogatory term and highly offensive to Indigenous groups in the north such as In…",negative
RT @AriFleischer: It’s clown questions like this that can make the briefing a waste of time. The only point of that question was to provoke…,negative
RT @drvox: My new post: US Postal Service trucks average 28 years old & badly need to be replaced. Electric mail trucks would be cheaper to…,negative
RT @pradip103: Don’t forget : It has been 11 days since sadhus were lynched in Palghar and Congrsss president Sonia Gandhi has not yet cond…,negative
RT @HalfManHalfLard: As a retired nurse I don't think I've ever been as angry and upset with a government as I am following tonight's #Pano…,negative
RT @acnewsitics: The dead in Vietnam and the dead from the Covid virus have one thing in common:  Donald Trump didn't fight for any of them.,negative
RT @DonaldJTrumpJr: A terrifying oped filled with CCP propaganda.  You have to be 100% out of touch or 100% bought & paid for to publish an…,negative
RT @_SJPeace_: She was the head of the emergency department at a Manhattan hospital   Took her own life after spending days on the front li…,negative
"RT @TheEconomist: Until there is a vaccine or a drug to kill the coronavirus, a resurgence of the epidemic will be an ever-present danger h…",negative
RT @RealMiniAOC: If CNN was around during WW2 they would say Pearl Harbor was asking for it and Twitter would censor anyone who blamed Japa…,negative
RT @arunbothra: A two year old boy in Chennai is suffering from severe epileptic encephalopathy & is in urgent need of a medicine Sabril Vi…,negative
RT @ThomasSowell: Most people on the left are not opposed to freedom. They are just in favor of all sorts of things that are incompatible w…,negative
"RT @NSWRFS: As of 8pm tonight, the Currowan Fire burning in the Shoalhaven has been set to out. The fire burned for 74 days, burnt out 499,…",negative
"RT @jdesmondharris: ""The EMTs were convinced it was a panic attack, not COVID-19. One of them sat with Mungin, who is Black, asking her que…",negative
"RT @CaslerNoel: In case you wondered what an average shooting day on ‘Apprentice’ looked like. Adderall is a hell of a drug, but the benzo’…",negative
RT @VictoriaRGates: This is the reason we do this. This is the reason we will not shut up. All of this ????. And Lady Gaga mocking them. #PAIN…,negative
RT @TheScottCharles: - 339 years of slavery - 89 years of segregation - decades of mass incarceration   Y’all: “Get over it!”   - 5 weeks w…,negative
RT @JerkVening: Sick of people saying that peasants should stop paying tithe to the lord on whose fief they live and work. Many vassals' so…,negative
"RT @zarahsultana: Tragically, the UK has one of the worst Covid-19 death rates in the world.  More than 20,000 have died & it's possibly do…",negative
"RT @ToryFibs: Jeremy Corbyn at his absolute best as he rips into the Tories for their herd immunity strategy, lack of testing & failure to…",negative
"RT @MrKRudd: 16 months in the highest office in the country and now, with a full-scale national crisis on our hands, Morrison needs to stop…",negative
"RT @BarbMcQuade: Remember that Flynn’s crime is lying to the FBI. He admitted in open court to lying to the FBI, as charged. All of the oth…",negative
"RT @MikeCarlton01: I’m told the Murdoch toady Greg Sheridan is on the ABC yet again, on The Drum tonight. Why, FFS ?  He has nothing new to…",negative
"RT @ajplus: A second wave of locusts is hitting parts of East Africa.  Already the worst outbreak in 70 years, this new wave is 20x bigger…",negative
RT @purr121: Off to bed. Sad and heartbroken. The vile comments that have been made  to me and my NHS colleagues. Called lefty loons liars.…,negative
RT @robbystarbuck: Tara Reade:  • Is a Democrat • Verifiably worked for Joe Biden • Accused Joe Biden of sexual assault • Has 4 witnesses s…,negative
"RT @jmulich: A man attacks three people with a meat clever, sending all of them to the hospital. At the sentencing, the judge calls the man…",negative
"RT @ArnawGoswami: I was questioned for twelve and a half hours, but we will continue to fight for the #Truth, the campaign will continue on…",negative
RT @CraigMurrayOrg: That Leaked Labour Party Report - I have now read my way through all 851 pages of the suppressed and leaked Labour Part…,negative
RT @srivatsayb: Does Arnab have the guts to ask PM Modi to speak about the brutal killing of Two Sadhus in UP?  Does he have the guts to sa…,negative
RT @CaslerNoel: Living in America during the Trump years is like being in a family with an abusive parent who assaults you on a  daily basi…,negative
"RT @SamRockford1: Kill one person and go to prison. Kill 55,000 Americans and stay in the White House? I don't think so.  This fake preside…",negative
"RT @alvinllum: Reporter Ms Wong, who's stabbed in Lennon Wall in TKO, said she was in grief and frustrated to learn about the judgement. ""I…",negative
RT @va_shiva: To HELL with your Fear. Get ANGRY! Tonight - 9:30PM EDT -  I’ll share the SCIENCE of how Big Pharma is double-dippping with e…,negative
"RT @Cernovich: OK I take back what I said about Bill Gates receiving undue disdain.  The guy is up to something, no other way to explain th…",negative
"RT @Acosta: As his admin unveils a new testing strategy, Trump just said “testing is not going to be a problem at all.” On March 6, Trump s…",negative
"RT @ARanganathan72: UNBELIEVABLE. The anchor goes on to say : ""This is shameful to say the least, the Retired Major trying to bring in enmi…",negative
